Departure_Date_Key,Arrival_Date_Key,Departure_Time_Key,Arrival_Time_Key,Origin_Airport_Key,Destination_Airport_Key,Airline_Key,Aircraft_Key,Departure_time,Distance_km,Delay_minutes,Passenger
2020-09-15,2020-09-16,22:13,06:12,YYZ,AMS,VY,1010,2020-09-15 22:13:00,5989.44,0,122
2023-08-11,2023-08-12,20:49,10:09,SIN,FRA,VY,1098,2023-08-11 20:49:00,10278.41,0,114
2022-03-02,2022-03-02,00:00,17:27,MNL,BOS,SK,1049,2022-03-02 00:00:00,13572.19,0,39
2022-03-04,2022-03-05,19:56,11:59,ICN,MIA,LA,1019,2022-03-04 19:56:00,12447.21,0,60
2025-10-27,2025-10-28,14:55,02:37,FRA,LAS,VN,1081,2025-10-27 14:55:00,8962.42,0,72
2022-03-27,2022-03-27,20:32,21:26,BOS,EWR,CA,1075,2022-03-27 20:32:00,322.68,0,121
2024-08-19,2024-08-19,03:11,08:14,SIN,HGH,UX,1082,2024-08-19 03:11:00,3649.37,0,33
2021-12-16,2021-12-17,18:10,01:13,DOH,LHR,TK,1041,2021-12-16 18:10:00,5240.94,0,60
2022-09-03,2022-09-03,06:58,09:05,AMS,FCO,UL,1099,2022-09-03 06:58:00,1296.86,0,40
2024-05-28,2024-05-28,13:30,15:32,SZX,PVG,KL,1093,2024-05-28 13:30:00,1233.35,0,156
2022-12-05,2022-12-05,05:49,21:34,MCO,DOH,FR,1018,2022-12-05 05:49:00,12205.71,0,34
2020-09-10,2020-09-10,08:45,19:49,PHX,LHR,FJ,1082,2020-09-10 08:45:00,8462.85,0,38
2025-11-11,2025-11-12,15:52,02:59,MUC,ICN,WS,1097,2025-11-11 15:52:00,8499.81,0,320
2020-03-23,2020-03-23,02:46,16:21,SZX,MAD,NZ,1031,2020-03-23 02:46:00,10471.54,0,95
2021-03-16,2021-03-16,08:02,13:31,JFK,BOG,MU,1090,2021-03-16 08:02:00,3996.48,0,185
2020-04-28,2020-04-28,03:35,19:13,PHX,SZX,FJ,1092,2020-04-28 03:35:00,12114.17,0,58
2024-07-21,2024-07-22,12:17,04:02,MCO,DOH,AM,1086,2024-07-21 12:17:00,12205.71,0,180
2022-04-04,2022-04-04,18:10,21:31,BOM,DOH,KL,1092,2022-04-04 18:10:00,2291.26,0,77
2020-04-01,2020-04-02,22:58,16:12,SZX,CLT,UL,1019,2020-04-01 22:58:00,13396.69,0,76
2024-04-27,2024-04-27,09:26,11:17,SFO,SEA,QF,1083,2024-04-27 09:26:00,1092.94,0,258
2022-03-04,2022-03-05,18:34,12:52,MIA,BOM,FJ,1085,2022-03-04 18:34:00,14242.46,0,68
2025-05-17,2025-05-18,16:26,06:24,PVG,DEN,AM,1091,2025-05-17 16:26:00,10780.05,0,51
2020-01-11,2020-01-11,06:49,21:56,LAS,SZX,AZ,1042,2020-01-11 06:49:00,11702.94,0,78
2023-04-21,2023-04-22,21:49,00:26,SZX,BKK,G3,1010,2023-04-21 21:49:00,1699.54,0,90
2024-03-01,2024-03-01,04:56,17:36,SEA,IST,JL,1029,2024-03-01 04:56:00,9745.42,0,117
2023-04-08,2023-04-08,13:40,20:15,CLT,PHX,VS,1050,2023-04-08 16:12:00,2847.93,152,177
2025-04-04,2025-04-04,08:26,17:21,JFK,LHR,QR,1064,2025-04-04 09:56:00,5540.01,90,391
2022-09-25,2022-09-26,19:42,05:29,SYD,SZX,IB,1085,2022-09-25 19:42:00,7429.81,0,56
2020-03-03,2020-03-04,13:36,00:12,FRA,DEN,AF,1060,2020-03-03 13:36:00,8088.48,0,85
2024-08-17,2024-08-18,20:25,08:59,MAD,GRU,HG,1096,2024-08-17 22:01:00,8379.56,96,299
2021-03-19,2021-03-19,15:14,23:46,BNE,KUL,UL,1080,2021-03-19 15:14:00,6439.68,0,198
2025-11-11,2025-11-11,05:19,22:51,SFO,KUL,FR,1093,2025-11-11 05:19:00,13634.39,0,137
2024-01-15,2024-01-16,07:32,00:47,ATL,CAN,AM,1016,2024-01-15 07:32:00,13401.48,0,233
2021-10-26,2021-10-26,02:25,05:48,PHX,ORD,AA,1068,2021-10-26 02:25:00,2312.58,0,47
2020-05-11,2020-05-12,21:27,05:52,ORD,LHR,EK,1089,2020-05-11 21:27:00,6344.73,0,188
2020-07-21,2020-07-21,13:59,18:14,SZX,BKK,AF,1095,2020-07-21 15:37:00,1699.54,98,68
2022-10-14,2022-10-14,00:46,11:45,LAS,LHR,HG,1026,2022-10-14 00:46:00,8395.19,0,91
2022-12-17,2022-12-17,11:31,16:47,BOG,IAD,QF,1047,2022-12-17 11:31:00,3823.2,0,330
2023-05-10,2023-05-11,23:23,10:30,MUC,ICN,ET,1004,2023-05-10 23:23:00,8499.81,0,30
2021-12-07,2021-12-07,10:11,13:56,KUL,CAN,G3,1028,2021-12-07 10:11:00,2612.75,0,60
2022-05-28,2022-05-29,09:40,02:23,KUL,SEA,TK,1020,2022-05-28 09:40:00,12984.48,0,260
2025-05-21,2025-05-22,11:46,12:34,PER,MCO,WY,1075,2025-05-21 13:11:00,18311.5,85,87
2024-01-08,2024-01-08,05:04,18:06,LAS,PEK,BA,1021,2024-01-08 05:04:00,10030.17,0,149
2025-10-25,2025-10-26,15:54,08:23,DEL,CLT,PK,1042,2025-10-25 16:12:00,12559.42,18,50
2022-06-20,2022-06-20,06:34,15:26,CDG,CLT,KE,1059,2022-06-20 06:34:00,6701.06,0,288
2024-08-17,2024-08-17,02:27,13:18,DXB,ICN,FR,1006,2024-08-17 04:24:00,6728.08,117,170
2024-07-14,2024-07-15,22:07,15:21,CLT,SZX,MH,1044,2024-07-14 22:07:00,13396.69,0,146
2020-08-24,2020-08-25,14:31,10:38,BOM,CLT,G3,1064,2020-08-24 17:25:00,13374.67,174,495
2025-05-10,2025-05-11,19:14,04:50,AMS,MCO,AC,1017,2025-05-10 19:14:00,7291.3,0,286
